Data;Prec;Temp;Umidade;VentoRaj;Coluna1
2015-06-07;0;19;82,666667;9,7;
2015-06-08;3,2;14,679167;88,041667;8,1;
2015-06-09;21,8;17,3;92,166667;7,9;
2015-06-10;41;17,620833;93,5;8,3;
2015-06-11;19,8;12,695833;70,583333;11,3;
2015-06-12;0;9,070833;67,666667;7,7;
2015-06-13;0;9,808333;81,5;5,4;
2015-06-14;0;12,525;81;9,6;
2015-06-15;0;9,941667;60,333333;11,5;
2015-06-16;0;11,304167;58,5;9,2;
2015-06-17;0;12,016667;68,875;6,7;
2015-06-18;1;11,591667;66,041667;14,5;
2015-06-19;0;7,133333;73;6,4;
2015-06-20;0;12,65;71,916667;10,8;
2015-06-21;0;13,395833;74,208333;9,1;
2015-06-22;0;14,354167;78,166667;8,7;
2015-06-23;5,4;9,716667;73,833333;9,5;
2015-06-24;,2;10,691667;81,625;7,7;
2015-06-25;0;15,854167;77,833333;13,3;
2015-06-26;0;16,320833;76,708333;10,4;
2015-06-27;0;16,008333;79,541667;6;
2015-06-28;0;16,766667;78,708333;6,7;
2015-06-29;0;16,9;83,166667;6,5;
2015-06-30;6,2;17,1625;86,208333;10,3;
2015-07-01;0;12,829167;83,25;8,6;
2015-07-02;,2;12,654167;78,875;8;
2015-07-03;8;15,083333;85,958333;12,1;
2015-07-04;,6;10,033333;78,208333;12,4;
2015-07-05;0;9,2875;82,25;6,4;
2015-07-06;0;14,016667;80,5;8,9;
2015-07-07;0;13,833333;84,75;9;
2015-07-08;0;14,966667;81,583333;8,1;
2015-07-09;1;15,3125;80,75;8,5;
2015-07-10;,2;12,808333;84,958333;4,6;
2015-07-11;,2;14,6375;88,125;4,8;
2015-07-12;0;15,0125;88,208333;7,5;
2015-07-13;15;16,3375;90,166667;11;
2015-07-14;12,2;11,841667;85,958333;11,6;
2015-07-15;1,6;9,645833;76,5;6,4;
2015-07-16;0;10,6125;80,5;7,2;
2015-07-17;0;14,8;84,416667;9,4;
2015-07-18;4;12,733333;90,25;5,8;
2015-07-19;51,4;15,433333;93;12,6;
2015-07-20;43,8;14,620833;89;13;
2015-07-21;8,2;12,533333;81,583333;12,3;
2015-07-22;,2;10,604167;80,416667;4,6;
2015-07-23;0;14,041667;75,958333;7,7;
2015-07-24;,2;15,15;89,125;8;
2015-07-25;,8;16,1625;77,875;8,5;
2015-07-26;0;15,070833;83,208333;6;
2015-07-27;,4;14,3;91,791667;4,1;
2015-07-28;0;15,8625;86,75;7,2;
2015-07-29;0;19,991667;77,25;8,3;
2015-07-30;0;18,491667;86;9,4;
2015-07-31;0;18,620833;83,666667;11,8;
2015-08-01;0;15,808333;80,458333;9,7;
2015-08-02;,2;18,720833;80,291667;11,3;
2015-08-03;9,8;16,708333;89,166667;9,6;
2015-08-04;12;14,791667;80,958333;8,4;
2015-08-05;5;16,7625;86,958333;12,1;
2015-08-06;0;19,125;83,125;15,1;
2015-08-07;0;22,308333;69,166667;10,9;
2015-08-08;,4;21,941667;75,041667;10,5;
2015-08-09;0;21,158333;79,291667;13,4;
2015-08-10;0;21,641667;72,791667;14,5;
2015-08-11;0;16,533333;83,125;13,4;
2015-08-12;3,6;18,35;95,5;5,7;
2015-08-13;0;19,275;;11;
2015-08-14;1;18,816667;85,583333;7,2;
2015-08-15;,2;16,725;89,863636;13,3;
2015-08-16;0;14,679167;77,25;9,1;
2015-08-17;8,2;18,904167;86,75;11;
2015-08-18;,2;18,604167;90,208333;6,5;
2015-08-19;6,2;15,458333;84,458333;14,6;
2015-08-20;0;15,375;69,166667;9,6;
2015-08-21;0;17,241667;72,75;11,9;
2015-08-22;0;18,4375;80,75;11,6;
2015-08-23;2,4;14,966667;71,583333;16;
2015-08-24;,2;12,125;74,625;8,1;
2015-08-25;0;16,15;74,041667;12,5;
2015-08-26;0;17,966667;83,75;14,8;
2015-08-27;12,8;16,766667;71,5;15,1;
2015-08-28;0;14,2125;67,833333;5,9;
2015-08-29;0;20,258333;57,791667;12,6;
2015-08-30;0;20,2;71,125;6,1;
2015-08-31;0;22,216667;66,875;14,7;
2015-09-01;6,4;14,4625;66,75;14;
2015-09-02;0;14,766667;62,916667;8,2;
2015-09-03;1,8;14,8375;78,25;9,9;
2015-09-04;17,4;13,841667;81,708333;7,2;
2015-09-05;1;14,2;70;7,3;
2015-09-06;,2;14,729167;82,375;11,4;
2015-09-07;1,8;15,416667;85,625;7,6;
2015-09-08;0;16,308333;81,708333;11,1;
2015-09-09;,2;14,841667;77,625;7,3;
2015-09-10;0;14,3;84,458333;12,5;
2015-09-11;3;9,65;62,791667;17,9;
2015-09-12;0;9,145833;56,875;10,9;
2015-09-13;0;12,745833;57,5;12,2;
2015-09-14;0;17,3375;54,458333;9;
2015-09-15;0;18,4875;61,916667;11,8;
2015-09-16;41,4;15,7375;81,833333;14,8;
2015-09-17;4,2;14,416667;79,25;10,5;
2015-09-18;0;16,079167;72,958333;9,6;
2015-09-19;0;16,158333;76,583333;11,7;
2015-09-20;0;16,775;80,291667;11,5;
2015-09-21;1,8;16,5375;89,125;17,5;
2015-09-22;48;18,454167;91,208333;8,6;
2015-09-23;39,2;18,3375;92,333333;15;
2015-09-24;77,6;18,841667;94,083333;30;
2015-09-25;33;17,1;89,291667;11,4;
2015-09-26;,2;17,058333;87,25;10,2;
2015-09-27;1,4;16,625;82,291667;11,4;
2015-09-28;,2;15,9875;66,458333;6,5;
2015-09-29;0;16,875;73;8,1;
2015-09-30;0;13,629167;67,083333;8,4;
2015-10-01;0;15,383333;72,875;11,3;
2015-10-02;5,8;19,145833;80,291667;15,6;
2015-10-03;4;12,4375;68,958333;16,5;
2015-10-04;0;12,358333;70,666667;9,1;
2015-10-05;0;13,691667;72,958333;12,2;
2015-10-06;0;18,791667;74,583333;13,9;
2015-10-07;4;19,3125;87,333333;11,4;
2015-10-08;10,2;18,754167;90;15,4;
2015-10-09;8,4;14,1875;87,291667;15,8;
2015-10-10;17,4;15,266667;81,166667;13,5;
2015-10-11;19,4;14,2125;85,541667;13,6;
2015-10-12;34,6;15,470833;84,541667;13,6;
2015-10-13;,2;14,5625;77,541667;8,4;
2015-10-14;0;17,595833;81,625;16,3;
2015-10-15;49,4;20,5;81,041667;18,9;
2015-10-16;0;15,879167;65,5;13,8;
2015-10-17;0;12,783333;64,916667;11,1;
2015-10-18;0;12,054167;71,291667;8,1;
2015-10-19;0;16,1625;81,916667;10,1;
2015-10-20;32,4;19,475;84,958333;17,5;
2015-10-21;3,6;16,225;79,25;10,7;
2015-10-22;0;18,354167;76,208333;8,3;
2015-10-23;0;16,025;80,458333;9,9;
2015-10-24;,2;14,020833;70,791667;8,8;
2015-10-25;0;16,929167;73,125;13,5;
2015-10-26;0;18,758333;78,291667;11,5;
2015-10-27;0;18,525;89,666667;16,3;
2015-10-28;6,4;19,166667;85,041667;13,4;
2015-10-29;0;20,8125;79,625;14,7;
2015-10-30;0;20,5;86,375;13,8;
2015-10-31;7,6;17,820833;82,916667;12,4;
2015-11-01;,2;17,05;63,666667;9,8;
2015-11-02;0;17,2125;65,5;12,2;
2015-11-03;0;18,0125;86,166667;11,3;
2015-11-04;,8;18,216667;78,5;9,2;
2015-11-05;0;16,945833;71,25;8,3;
2015-11-06;,4;16,575;62,916667;10,5;
2015-11-07;0;17,675;72,583333;8,7;
2015-11-08;0;19,4875;78,625;12,7;
2015-11-09;0;22,304167;77,208333;9,9;
2015-11-10;6,2;20,591667;87,333333;8,4;
2015-11-11;4;20,829167;83,916667;9,5;
2015-11-12;0;19,783333;79;14;
2015-11-13;58;21,9;80,25;16,4;
2015-11-14;2,4;18,375;73,791667;16,2;
2015-11-15;,4;17,816667;77,666667;7,8;
2015-11-16;0;19,654167;76,541667;12;
2015-11-17;1,4;20,083333;83,125;13,9;
2015-11-18;6,6;21,820833;83,375;9,4;
2015-11-19;0;19,295833;85,541667;12,4;
2015-11-20;19,4;16,8625;81,833333;16,2;
2015-11-21;3;15,575;62,5;9;
2015-11-22;0;19,504167;64,041667;8,8;
2015-11-23;0;19,108333;63,708333;9,2;
2015-11-24;0;19,425;60,708333;12,7;
2015-11-25;0;20,033333;62,541667;15,7;
2015-11-26;0;19,8;74,375;17,1;
2015-11-27;0;21,5125;84,875;14,5;
2015-11-28;21,6;20,925;76,166667;13,4;
2015-11-29;0;19,2;64,208333;11,2;
2015-11-30;0;18,595833;61,958333;7,2;
2015-12-01;0;20,075;63,541667;9,7;
