Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.6025
Longitude: -48.61999999
Altitude: 4.87
Situacao: Operante
Data Inicial: 2013-12-01
Data Final: 2024-11-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-05-04;0;28.3;24;21.1;82.2;6.5;1.2;
2018-05-05;.4;28.7;23.7;20.2;82.9;8.4;1.5;
2018-05-06;7.2;25.7;22.5;20;85.3;7.8;1.7;
2018-05-07;18.2;25.5;22.2;20.3;81.8;7.6;1.5;
2018-05-08;.4;24.5;21.1;17.5;80.4;6.6;1.1;
2018-05-09;.8;23;20.6;18;86;6;1.1;
2018-05-10;2.8;26.7;22.4;18.9;76.8;9.4;1.9;
2018-05-11;0;27;22.5;18.9;79.2;8.6;1.7;
2018-05-12;0;25.1;21.8;16;65.8;8.9;1.9;
2018-05-13;0;23.6;19.6;15.2;72.8;6.9;1.7;
2018-05-14;0;25.1;20.7;15.2;73;7.7;1.5;
2018-05-15;0;27.4;22.2;17.6;74.1;7.2;1.5;
2018-05-16;1.8;23.8;20.8;18.2;78;12.1;2.4;
2018-05-17;0;22.9;20;17.2;65.2;9;1.6;
2018-05-18;0;25.7;21.4;18.9;75.8;11.7;1.6;
2018-05-19;26.2;22.4;19;16.9;80.6;8.5;1.3;
2018-05-20;5;22;16.8;12.6;57.8;9.2;2.3;
2018-05-21;0;22;15.3;9;61.6;6.6;1.3;
2018-05-22;0;21.6;16.1;11.2;75.6;7.4;1.6;
2018-05-23;0;20.4;17;12.9;67.9;6.9;1.5;
2018-05-24;0;20.3;15.2;10.1;74.4;5.5;1.5;
2018-05-25;0;22.1;17;13;76.4;5;.8;
2018-05-26;0;22.9;18.8;14.4;76.5;6.5;1.1;
2018-05-27;0;25.5;20.1;15.7;78.8;7.6;1.3;
2018-05-28;.2;25.4;20.2;16;80.1;7.1;1.2;
2018-05-29;0;24.7;20.1;16.8;85;8.2;1.1;
2018-05-30;5.2;25.1;20.5;16.9;83.4;6.9;1.1;
2018-05-31;.2;24.8;20.2;15.8;80.3;6.8;1.6;
2018-06-01;.2;26.3;20.6;16.5;77.3;8.2;1.4;
2018-06-02;1;22.5;19.2;18.4;83.8;12.5;2.8;
2018-06-03;5.8;18.9;16.1;10.3;65.4;12.5;2.8;
2018-06-04;0;20.4;15.7;11.1;73.5;5;.9;
2018-06-05;5.6;20;17;14.2;88.1;8.1;1.2;
2018-06-06;5.6;21.1;16.4;10.1;73.1;5.6;1.1;
2018-06-07;.2;18.8;15.3;11.9;80.5;6.9;1.2;
2018-06-08;0;20.3;14.1;7.4;61.6;7.1;1;
2018-06-09;0;22;14.7;8.3;71.3;9.3;2.1;
2018-06-10;0;23.8;18.4;13.9;78.5;8.6;1.9;
2018-06-11;0;24.1;20.1;16.1;81.5;10.2;1.7;
2018-06-12;.6;24.3;20.5;19.7;85.8;10.2;1.3;
2018-06-13;32.6;22.7;19;17.3;78.3;9.2;2.2;
2018-06-14;0;17.2;13.6;9.3;70.9;9.2;2;
2018-06-15;.4;15;13.2;11.3;74;9.7;2.2;
2018-06-16;0;14.9;12.8;11.4;63.7;9.6;2;
2018-06-17;0;17.3;14.2;11.8;76;4.4;.9;
2018-06-18;.4;19.8;16;12.8;87.6;6;.9;
2018-06-19;.2;22.3;18.3;14.9;84.3;7.8;1.3;
2018-06-20;.2;24.9;17.8;13.8;77.2;4.7;.9;
2018-06-21;.2;27.6;18.2;11.2;73.4;6.4;1.3;
2018-06-22;0;21.5;17.4;16.5;77.5;9.9;2.5;
2018-06-23;0;22.8;17.7;13.7;79.4;7.9;1.8;
2018-06-24;0;20.5;17.2;15.7;80.9;14.5;3.2;
2018-06-25;5.8;22.3;17.2;14.1;85.9;6.7;1.4;
2018-06-26;2.6;18.6;16.7;16.1;85.2;7.4;2.1;
2018-06-27;.2;19.6;17.2;15.9;87.2;6;.8;
2018-06-28;.2;24.1;18.8;16.1;85.5;6.6;1.4;
2018-06-29;0;23.2;19.5;17;84.1;7.5;1.3;
2018-06-30;9.2;20.8;18.7;16.8;88.3;5.9;1.3;
2018-07-01;0;23.8;19.3;17.1;83.1;7.3;1.4;
2018-07-02;0;23.9;19.2;15.5;82.9;8.2;1.7;
2018-07-03;1.4;20.6;16.4;15.7;78.4;16.8;4.8;
2018-07-04;23.2;14.7;12.7;10.6;86.3;11.9;2;
2018-07-05;16.4;17;14.9;10.6;88;6.4;1.3;
2018-07-06;0;17.7;16.1;14.4;87.4;6.2;1.1;
2018-07-07;0;24.4;19.7;15.7;77.4;8.1;2.1;
2018-07-08;0;25.8;18.3;16.8;81.7;8.1;2;
2018-07-09;0;21.4;17;14.1;75;6.2;1.1;
2018-07-10;0;19.9;16.1;14.3;56.6;9.2;2.9;
2018-07-11;0;18.8;15;10.5;64.3;9.7;2.2;
2018-07-12;0;20.9;13.7;7.4;68;7;1;
2018-07-13;0;19.5;13.1;7.6;74.4;3.4;.9;
2018-07-14;.2;21.4;14.9;8.7;74.3;8;1.7;
2018-07-15;0;24.1;17.9;12.8;81.5;7.4;1.8;
2018-07-16;0;22.4;19.3;16.4;83;11.6;2;
2018-07-17;12.6;24.4;20.4;18.1;84.4;7.1;1.1;
2018-07-18;0;23;19.7;16.4;84.4;9.2;2.2;
2018-07-19;.2;24.2;18.5;15.9;86.5;8.2;2.3;
2018-07-20;0;24.1;18.6;16;86.7;9.6;2.7;
2018-07-21;0;20.3;16.6;15.6;79.6;12.3;3.2;
2018-07-22;0;19.4;16.1;13.4;71.5;8.4;1.6;
2018-07-23;0;24.8;19.1;15;73.7;11;2;
2018-07-24;0;18.1;16.5;16;81.3;13.3;3.2;
2018-07-25;3.8;17.1;16.4;15.5;92.3;11;2.2;
2018-07-26;55;21.9;17.7;14.3;86.9;6.8;1.4;
2018-07-27;0;20.5;17.7;15.3;88.1;7;1.7;
2018-07-28;.2;21;18;16.7;89.4;8.2;1.6;
2018-07-29;1.6;20;17.5;17;85.3;10;2.5;
2018-07-30;0;19.6;16.6;14.6;73.5;6.8;2.1;
2018-07-31;0;17.5;15.9;14.8;72.3;12.8;4;
2018-08-01;0;17.1;14.7;11.6;63.5;10.7;2.7;
2018-08-02;0;16.3;14.4;12.4;82.9;6.2;.7;
2018-08-03;9.6;19.6;16.4;14.5;92.5;3.3;.6;
2018-08-04;2.2;22.9;17.6;13.3;85.6;5.5;1;
2018-08-05;0;19;16.5;15.2;80.5;9.2;1.6;
2018-08-06;.2;19.3;14.6;11.5;80;7.6;1.5;
2018-08-07;0;21.9;14.7;9.2;76.5;6.6;1.2;
2018-08-08;.2;22.8;16.8;11.3;76.6;10.1;1.9;
2018-08-09;7.6;20.4;16.6;14.9;72.4;13.8;2.6;
2018-08-10;.2;20.3;14.6;10.6;57.7;9.3;2.3;
2018-08-11;0;22.5;15.5;9;68.9;8.8;1.3;
2018-08-12;0;22.5;16.3;10.5;77.1;6;1.4;
2018-08-13;0;22.3;17.2;13.5;74.6;7.5;1.4;
2018-08-14;.2;22.9;16.9;11.2;73.3;9.4;1.7;
2018-08-15;0;20;16.3;13.5;78.5;10.2;2.6;
2018-08-16;0;20.6;16.8;14.1;71.6;11.1;2.1;
2018-08-17;0;22.5;17.9;14.4;73.4;5.5;1;
2018-08-18;0;21.7;17.4;12.9;76.7;9.8;1.8;
2018-08-19;0;24.6;19.8;15.9;72.2;8.7;1.9;
2018-08-20;0;18.9;16.3;14.8;87.1;10;2.9;
2018-08-21;3.8;15;13;12.1;86.9;11.9;4.1;
2018-08-22;27.8;16.8;13.6;11.5;90.9;9.3;1.2;
2018-08-23;1.6;19.3;15.5;12.4;86.6;7.1;1.7;
2018-08-24;1.4;22;17.7;14.9;86.1;12.6;1.6;
2018-08-25;16.6;22.6;18.6;17.1;62.4;11.7;3.2;
2018-08-26;0;16;12.3;7.8;63.1;7.7;2.1;
2018-08-27;0;18.7;12.6;6.6;65.8;8.6;1.7;
2018-08-28;0;23.3;16.6;10.6;69.5;10.2;2.1;
2018-08-29;0;23.1;19.5;16.8;76.2;8.1;2.6;
2018-08-30;0;23.3;19.1;15.5;81;11.1;2.5;
2018-08-31;0;23.1;19.1;15.4;85;12.4;2.9;
2018-09-01;19.6;22.5;19.5;18.2;90.1;8.6;.9;
2018-09-02;14.6;21.7;19.6;18.5;90.4;6.3;1.1;
2018-09-03;12.8;19.7;18.3;18;93.2;7.6;1.1;
2018-09-04;64;22.2;18.3;16.7;73.2;13.5;3;
2018-09-05;0;21.3;16.4;11.1;63.1;8;1.8;
2018-09-06;0;22.1;16.1;10.2;71.1;10.5;1.9;
2018-09-07;0;24;18.4;12.8;68.8;10.5;2.3;
2018-09-08;.2;23.3;17.8;12.2;76.3;8.7;1.6;
2018-09-09;0;24.7;18.6;13.6;75.1;6.9;1.1;
2018-09-10;0;23.6;18.4;14.6;79.9;5.5;1.3;
2018-09-11;10;19.7;17.8;16.8;86.1;10.7;3;
2018-09-12;5.6;19.2;17.2;15.8;88.7;6.4;1.3;
2018-09-13;7.2;20.4;18.8;16.5;81;8.8;1.7;
2018-09-14;2.8;20.7;18.4;17.6;90;9.9;1.5;
2018-09-15;33.8;20.6;17.9;16.6;89;7.6;1.5;
2018-09-16;9;22.7;18.9;16.8;85.1;7.1;1.8;
2018-09-17;6;20.2;18.5;17.4;91.5;5.3;.7;
2018-09-18;15.4;27.1;20.5;17;80.6;9.7;1.9;
2018-09-19;0;27.7;20.9;15.5;77.9;6.6;1.2;
2018-09-20;0;24.2;21.6;19.2;84.9;5.8;1.4;
2018-09-21;.2;26.6;21.5;17.5;83.3;7.6;1.6;
2018-09-22;0;26.6;22.1;19.3;79.7;9.6;2.3;
2018-09-23;0;27.7;22.9;19.1;74.1;7.1;1.9;
2018-09-24;0;28.4;23.1;18.8;75.5;11.2;2.3;
2018-09-25;.2;25.3;22.5;20.8;78.3;8.1;1.7;
2018-09-26;.2;26.5;22.8;20.5;78.3;7;1.5;
2018-09-27;.2;25.2;22.6;20.7;84;10.8;1.9;
2018-09-28;1.2;23.8;22.1;20.6;83.4;7.6;2.3;
2018-09-29;4;25.4;22.3;20.2;80.4;9.6;2.1;
2018-09-30;.2;27;23.1;21;80.9;8.4;2.4;
2018-10-01;0;31;24.6;21.8;77.7;17.9;2.2;
2018-10-02;2.8;25.2;21.6;20.1;83.9;8.4;1.8;
2018-10-03;3.4;23.8;20.8;20.2;86.9;15.8;2.2;
2018-10-04;2.6;22.8;19.8;17.8;70.4;12.8;3;
2018-10-05;0;20.9;18.6;16.2;67.1;9.9;3;
2018-10-06;0;19.8;17.2;13.1;68.3;9.4;1.6;
2018-10-07;.4;22.2;18.9;16.2;79.4;5.9;1.2;
2018-10-08;.4;22.9;20.7;18;87.3;4.8;.8;
2018-10-09;1.4;27.7;23.5;20.2;79.3;9.9;2.1;
2018-10-10;1;25.5;22.6;20.9;80.8;14.5;3.5;
2018-10-11;.6;23.1;20.9;18.6;66.7;15.5;3.9;
2018-10-12;0;21.2;20.2;18.5;77.6;8.5;1.8;
2018-10-13;2;23.2;21.2;19;83.1;13.7;3.1;
2018-10-14;2.2;21.2;19.1;18.3;74.9;11.4;2.4;
2018-10-15;1.6;24.6;19.4;15.8;78.3;7.6;1.3;
2018-10-16;3;23.2;20;17.8;86.8;8.2;1.4;
2018-10-17;7.6;23.9;21.5;19.9;89.6;8.2;1.7;
2018-10-18;1.8;27.5;23.8;20.6;79.6;9.1;2.2;
2018-10-19;0;24.9;22.6;21.7;73.7;15.4;5.2;
2018-10-20;0;23.7;20.2;16.3;64;12;3.1;
2018-10-21;0;24;19.6;16.9;66.4;8.1;2.1;
2018-10-22;0;25;21.2;17.7;66.2;11.4;2.6;
2018-10-23;0;26.1;21.4;18.6;77.3;11.7;2.4;
2018-10-24;1.4;22.1;20.4;18.6;72;9.6;3.1;
2018-10-25;5;20.7;19;17.2;90.9;6.7;.9;
2018-10-26;21;22.1;20.8;19;91.4;8.1;1.1;
2018-10-27;38.2;29.9;23;20.7;76.1;11.3;2.8;
2018-10-28;0;22.9;20.3;17;65.2;11.9;3.4;
2018-10-29;0;23.2;20;17.1;67.5;7.6;1.7;
2018-10-30;0;25.5;21.5;18.5;74;11.3;2.5;
2018-10-31;9.2;25.3;21.5;20;81.6;9;1.8;
2018-11-01;20.2;23.8;21.2;19.3;80.3;9.8;2;
2018-11-02;0;23.1;21.1;19;69.6;11.1;2;
2018-11-03;0;24.5;21.5;19.5;81;9.1;2;
2018-11-04;15.8;25;21.4;18.7;74.5;12.4;3;
2018-11-05;.2;24.9;21.6;18;67.1;9.5;2;
2018-11-06;0;27.1;22.2;17.9;68.6;12.2;2.3;
2018-11-07;2.6;23.9;21.8;20.3;80.7;9.8;1.6;
2018-11-08;1.6;24.8;21.4;19.6;64.2;9;2.5;
2018-11-09;2.4;26.4;22.1;18.4;74.1;9.4;1.8;
2018-11-10;13.2;25.7;22.7;20.7;82.3;9.9;2.2;
2018-11-11;4.4;28.4;24.1;20.1;78.4;9.7;1.9;
2018-11-12;0;28.6;25.2;22.5;75;9;2.2;
2018-11-13;2.8;27.8;24.8;22.4;79.3;10.6;2.7;
2018-11-14;0;32.8;26.5;23.1;71.2;13.1;2.3;
2018-11-15;0;28.3;25.6;23.7;56.8;11.1;3;
2018-11-16;0;30.3;24.8;18.9;55.8;6.6;1.7;
2018-11-17;0;26.9;23.4;18.9;64.7;11.8;2.5;
2018-11-18;0;25.1;22.9;22.2;75.9;16.7;2.6;
2018-11-19;14.2;24.4;21.2;19.2;54.1;15.8;3.8;
2018-11-20;0;25.7;20.7;15.2;62.8;7.3;1.7;
2018-11-21;0;26.5;21.9;16.5;63.9;10.3;2.2;
2018-11-22;3.8;28.3;23.1;19.8;77.4;9.4;2;
2018-11-23;0;27.9;24.8;20.8;75.7;8.3;2;
2018-11-24;2.8;27.6;24.2;22.5;83.3;11.1;2.1;
2018-11-25;13.6;24.8;21.7;19.2;81.2;10;2.6;
2018-11-26;0;25.3;22.3;18.2;61.8;11;2.7;
2018-11-27;1.4;26.7;22.6;18.6;72;8.4;1.8;
2018-11-28;1.8;25.8;22.7;19.8;75.8;9.8;1.8;
2018-11-29;8.8;27.2;23;20.7;82.5;7.5;1.7;
2018-11-30;.2;27.3;22.9;20.7;84.6;8.1;1.3;
2018-12-01;18.2;28.8;23.5;19.7;81.8;10.9;1.7;
2018-12-02;8.6;24.7;22.7;19.9;69.6;16.6;4;
2018-12-03;0;22.4;20.2;18.6;59.7;14.2;2.9;
2018-12-04;0;29.1;22.3;16.6;65.2;8.5;2;
2018-12-05;0;26.9;22.3;17.6;72.8;11.8;2.3;
2018-12-06;0;25.2;22.2;19.8;67;11.6;2.9;
2018-12-07;0;22.6;20.8;19.3;60.5;13.3;3.5;
2018-12-08;0;24.2;19.9;14.1;55.9;11.2;2.4;
2018-12-09;0;26.9;21.7;15.8;57.7;11.2;2.1;
2018-12-10;0;28.6;24.2;21;67.1;10.8;2.4;
2018-12-11;0;29.1;24.9;20.5;75;9.8;2.1;
2018-12-12;0;32.5;26.3;21.2;72.4;12.3;2;
2018-12-13;3.6;32.2;26.6;22.8;70.9;7.7;1.5;
2018-12-14;0;30.2;26.8;24.1;75.2;10.8;2.4;
2018-12-15;16.2;31.2;26.5;23.1;74.9;13.6;3.1;
2018-12-16;.8;31.3;26.1;23;75.7;9.6;1.6;
2018-12-17;0;31.3;27.7;24.4;74.3;12;2.5;
2018-12-18;.4;30.2;26.1;24.3;76.4;14.5;3.4;
2018-12-19;4;29.5;25.3;22.1;77.8;10.8;1.4;
2018-12-20;3.2;32.4;26.6;22.5;77.4;17;2.6;
2018-12-21;25.6;34.3;25.6;22;77.2;19;1.2;
2018-12-22;34;30.8;25.9;21;70.8;8.2;2.1;
2018-12-23;27;27.8;24.1;21.6;81.2;8.9;2;
2018-12-24;.8;26.3;23.7;21.5;78.1;8.6;2.4;
2018-12-25;4.2;25.4;22.7;20.8;78.7;6.7;1.5;
2018-12-26;1.2;27.6;23.3;20.4;77;8.7;1.6;
2018-12-27;1;28.7;24.4;21.2;74.8;8.4;1.6;
2018-12-28;0;30.7;26.2;21;71;10.4;1.9;
2018-12-29;0;31;26.8;22.6;71.8;9.1;2;
2018-12-30;0;30.8;27.3;24.6;72.7;12.8;2.2;
2018-12-31;0;31.7;27.6;23.5;72.6;9.4;2.3;
2019-01-01;.2;31;27.7;24.7;72.1;8.1;2.1;
2019-01-02;.2;32;27.9;23.9;70.9;11.8;2.6;
2019-01-03;0;39.7;30.6;26;65.9;16.4;2.8;
2019-01-04;11.8;27.4;24.9;24.5;84.6;12.7;3.4;
2019-01-05;.2;26.3;23.9;22.7;77.1;9.7;2.8;
2019-01-06;0;30.7;25.6;21.8;71.8;8.1;1.6;
2019-01-07;2.4;35.2;27.5;24.1;76.6;12.4;2.1;
2019-01-08;5.6;30.1;27.3;25.4;74;10.4;2.6;
2019-01-09;0;32.5;27.3;23;73;9.6;1.9;
2019-01-10;0;32.5;28.7;27;69.7;16.5;2.6;
2019-01-11;0;31.8;27.1;23.5;70;10.1;2.4;
2019-01-12;0;30.5;27;24.3;74.8;8.6;2.6;
2019-01-13;14.2;32.5;26.6;22.3;76.3;8.8;1.7;
2019-01-14;3.8;31.1;27.2;24.1;75.8;8.8;2;
2019-01-15;.2;34.3;28.3;25;74.6;7.2;1.6;
2019-01-16;4.6;36.8;28.1;24;72.5;14.2;1.9;
2019-01-17;32;32.1;26.7;23.1;80;10.1;1.7;
2019-01-18;6.2;30.5;26.6;23.8;79.4;7.1;1.5;
2019-01-19;2;30.4;25.9;23.9;79.8;14;2.6;
2019-01-20;9.2;27.2;25.2;23.2;71.5;12;3.2;
2019-01-21;0;32.3;26.4;22.1;73;12.3;2.4;
2019-01-22;0;31.5;26.9;23.1;71.7;11.1;1.9;
2019-01-23;0;31.6;27.6;23.3;74.3;11.3;2.1;
2019-01-24;67.2;28.1;25.7;24.2;85.7;6.4;1.2;
2019-01-25;61.4;29.7;25.6;22.2;79.5;7.1;1.8;
2019-01-26;2.2;30.8;26.7;23.3;77;8;1.5;
2019-01-27;1.8;31.8;27;23.1;73.2;9.3;1.5;
2019-01-28;0;32.3;28.1;24.2;75.5;9.7;2;
2019-01-29;0;34.8;29.2;26.1;73.3;8.2;1.8;
2019-01-30;0;35.8;30.1;24.8;69.8;8.8;1.6;
2019-01-31;0;37.5;30.7;26.1;65.3;9.9;1.3;
2019-02-01;.6;34.8;28.3;24;70.4;34.5;1.4;
2019-02-02;30.2;31.5;26.5;21.6;77.5;12.6;2;
2019-02-03;14.8;26.8;23.7;22.8;82.5;13.3;3.5;
2019-02-04;2.6;25.9;23.2;20;67.4;11.1;2.2;
2019-02-05;0;26.7;23.3;18.8;68.6;8.7;2.1;
2019-02-06;0;28.7;23.6;18.6;68;7.6;1.9;
2019-02-07;0;29.7;24.6;19.8;66.4;7.4;1.5;
2019-02-08;0;31;25.6;20.4;69.2;9.7;1.8;
2019-02-09;3.8;31.2;27;22.7;73.1;11.5;2.3;
2019-02-10;0;31;27.2;24.2;72.3;12.4;2.7;
2019-02-11;0;30;27.3;25;77.6;8.5;1.7;
2019-02-12;.4;30;26.5;23.5;74.8;13.6;3.3;
2019-02-13;0;26.5;23.4;20;65.7;13.4;3.4;
2019-02-14;0;27.4;23.6;19.6;65;7.3;1.7;
2019-02-15;7.6;25.2;21.5;20.8;85;6.3;1.5;
2019-02-16;8;25.8;22;19.3;82.4;7.7;1.7;
2019-02-17;20.8;24.2;22.5;21;87.2;9.7;2.6;
2019-02-18;117.4;25.3;22.9;21.2;88.1;9;1.9;
2019-02-19;8;33.7;25.2;20.7;78.4;11.4;1.6;
2019-02-20;5.2;31;24.8;20.3;77.2;9.5;1.6;
2019-02-21;0;28.4;25.3;22.2;79.7;6.4;1.6;
2019-02-22;0;31.3;26.4;21.8;74.2;10.4;1.6;
2019-02-23;0;33.9;28.5;24.3;70.5;6.7;1.7;
2019-02-24;0;38.3;28.5;23.7;68.6;21;2.2;
2019-02-25;21.2;27.1;24.3;22.2;80.3;13.3;1.8;
2019-02-26;13.8;26.3;22.9;20.2;74.1;12.2;2.7;
2019-02-27;.6;23.7;21.9;20.7;81.6;9.8;2.6;
2019-02-28;2.2;27.4;22.8;18.6;80.4;8.3;1.6;
2019-03-01;0;29.7;24.5;19.7;71.8;10.1;1.9;
2019-03-02;.2;32.9;26.8;21.4;69.1;7.4;1.8;
2019-03-03;0;31.9;26.3;21.9;74.8;8.8;2.1;
2019-03-04;.2;31.6;27.3;24;70.5;6.7;1.8;
2019-03-05;0;31.1;27.2;23.1;74.6;11.2;2;
2019-03-06;0;31.6;27.4;24.5;76;8.1;1.7;
2019-03-07;4.8;30.3;26.5;23.4;76.9;8;1.8;
2019-03-08;0;34.3;27.7;24.1;70.2;13.7;1.8;
2019-03-09;7.8;29.7;25.9;22.9;77.4;11.3;1.8;
2019-03-10;.4;26.8;23.9;23;77.8;14.2;4.3;
2019-03-11;1.2;26.8;23;20.1;74.5;10.8;2.2;
2019-03-12;1;23.8;22.1;20.9;86.8;5;.8;
2019-03-13;14.4;31.7;25.5;21.1;77.8;6.5;1.4;
2019-03-14;15;28.8;24.8;22.2;83.8;9;1.7;
2019-03-15;8.6;27.5;24.5;22.2;77.6;7.3;1.7;
2019-03-16;.2;28.8;24.8;21.3;73.2;7.5;1.8;
2019-03-17;0;28;24.4;22;77.5;4.8;1;
2019-03-18;.6;29.9;25.6;23.2;79.8;8.3;1.2;
2019-03-19;5;30.3;25.8;21.7;76.8;8;1.9;
2019-03-20;1;27.3;23.8;21.7;72.5;13;2.9;
2019-03-21;0;24.8;22.6;20.4;62;13.7;3.1;
2019-03-22;0;24;20.9;19.6;70.3;8.2;1.6;
2019-03-23;5.6;28.1;22.4;18.3;76;7.6;2.1;
2019-03-24;0;31;24.2;18.7;71.7;9.1;1.9;
2019-03-25;1;27.7;23.8;21;79.6;10.2;2.3;
2019-03-26;0;23.5;22;20.8;72.1;9.5;2.1;
2019-03-27;.4;26.1;22.4;20.2;71.3;8.1;2;
2019-03-28;.4;25.6;22.5;20.1;77.5;8.5;2.4;
2019-03-29;14;26.9;22.5;20;77.1;7;1.6;
2019-03-30;.8;28.4;23.3;18.1;67.4;8.8;1.7;
2019-03-31;0;27.5;22.9;19.2;74.6;6;1.3;
2019-04-01;0;28.7;24.2;20.3;76;9.5;1.5;
2019-04-02;0;29.6;24.6;20.6;72;9.9;1.8;
2019-04-03;0;30.4;25.1;20.7;75.4;7.3;1.7;
2019-04-04;0;29.8;26;22.4;78.9;11.1;2.4;
2019-04-05;0;31.6;26.5;25.8;76.5;13.3;3.5;
2019-04-06;.8;24.6;22.3;21.9;75.9;11.1;1.8;
2019-04-07;32.4;22.1;20.9;20.1;91.4;13;2.3;
2019-04-08;17.2;24.6;22.2;20;75.8;11.8;3.2;
2019-04-09;.2;25.3;21.6;17;64.3;9.4;2.3;
2019-04-10;0;27;21.6;16.2;71.5;5;1.1;
2019-04-11;0;29.8;23.1;17.5;73.7;8.3;1.2;
2019-04-12;0;30.7;23.3;18.4;78.3;8.9;1.7;
2019-04-13;1.2;29;24.5;20.4;77.8;7.9;1.6;
2019-04-14;0;29.6;25;21.5;78.3;9.9;1.8;
2019-04-15;.6;29.3;25;21.3;78.9;9.6;2.1;
2019-04-16;0;26.8;23;21.6;82.7;16.1;1.4;
2019-04-17;20.6;28.9;22.6;18.1;65.7;11.3;2.4;
2019-04-18;0;27.5;23;17.8;68.3;7.4;2.2;
2019-04-19;0;29.2;24.1;20.7;71.2;6.7;1.5;
2019-04-20;0;27.3;23.1;18.7;76.7;6.8;1.2;
2019-04-21;0;29.1;24;19.6;68.9;7;1.3;
2019-04-22;1;25.1;22;21.5;83.1;10.3;3.9;
2019-04-23;2.4;23.4;22;20.1;76.7;9.7;2.9;
2019-04-24;.4;24.2;22.4;20.5;85.5;5.3;.9;
2019-04-25;4.8;26.6;23.9;21.6;88.1;5.3;1.1;
2019-04-26;0;28.3;24.6;21.8;82.6;5.1;1;
2019-04-27;0;27.5;24.6;22.4;83;7.5;1.5;
2019-04-28;2.4;25.6;22.6;21;85.2;11.2;1.8;
2019-04-29;3;25.3;21;16.3;72.1;10.1;2.1;
2019-04-30;.2;26.6;21.3;16.1;74.4;9.4;1.6;
2019-05-01;0;25.4;21.8;18.8;80.8;8.3;1.2;
2019-05-02;0;27.3;23.1;20.3;76.2;8.8;1.5;
2019-05-03;0;29.1;24.3;19.9;79.5;8.3;1.8;
2019-05-04;0;31.7;25.4;23.2;81.4;7.7;1.3;
2019-05-05;0;28.4;24.7;21.7;81.8;7.7;1.4;
2019-05-06;0;31.1;25.1;22.3;76.1;13.5;2.3;
2019-05-07;0;25;22.7;21.3;72.7;10.7;3.6;
2019-05-08;0;24.1;21.5;19.2;66.1;9.6;1.4;
2019-05-09;.4;25;21.5;18.9;80.9;8;1.5;
2019-05-10;1.6;25.7;23.1;20.4;77.1;8.6;1.9;
2019-05-11;.6;24.2;22.7;21.9;85.3;8.8;1.3;
2019-05-12;14.4;22.2;21.1;20.1;81.1;11.1;3.3;
2019-05-13;0;21.7;20.7;19.6;83.7;7.5;.7;
2019-05-14;14;25.8;20.9;20.2;82.5;14.5;2.6;
2019-05-15;2.8;23.6;20.8;18.1;73.7;12.1;3.4;
2019-05-16;3.6;23.5;21.4;19.8;68.5;9.8;3.1;
2019-05-17;0;24;20.5;17.2;72.3;9.8;2.1;
2019-05-18;5.8;23.8;20.3;18.2;84.5;6.3;1.1;
2019-05-19;9.6;23.2;20.1;18.5;89.3;5.1;.9;
2019-05-20;6.4;25.8;20.9;17;84.6;4.7;.9;
2019-05-21;.2;26.6;21.9;19;83.3;7;1.2;
2019-05-22;0;24.4;21.5;20.3;85.8;4.6;.7;
2019-05-23;3.4;23;21.2;19.8;86;4.6;.9;
2019-05-24;3.4;21.9;19.2;18.4;84;8.6;1.1;
2019-05-25;14.2;23.7;19.8;16.4;65;10.3;2.9;
2019-05-26;0;23.8;18;12.9;76.7;8.3;1.5;
2019-05-27;0;24.1;20.6;17.9;73.9;8.9;1.9;
2019-05-28;6.6;23.7;20.6;18;81.9;7.3;1.6;
2019-05-29;0;23.8;20.5;17.6;80.8;7.6;1.7;
2019-05-30;20.8;20.4;19;17.9;89.7;6.4;1.1;
2019-05-31;48;20.5;19.4;18;88.4;9.8;2.2;
2019-06-01;1;22.7;19.8;18.6;86.8;9.3;1.7;
2019-06-02;37.6;21.6;19.5;18.2;89.1;7.3;1.5;
2019-06-03;4.4;22.4;19;17.7;85.4;14.5;2.5;
2019-06-04;.6;22;17.4;12.1;70.8;9.8;1.7;
2019-06-05;.2;23.2;16.5;11.3;76.4;5.1;.7;
2019-06-06;.2;22.9;18.7;14.5;80.4;9.6;1.4;
2019-06-07;.2;26.4;21.1;18.1;71.3;6.7;1.6;
2019-06-08;.2;23.3;18.7;14.3;82.8;5.9;1.2;
2019-06-09;0;25.2;20.9;18;80.3;8.2;1.4;
2019-06-10;.2;25.7;20.1;15.1;77.3;8.6;1.5;
2019-06-11;0;26.9;20.8;15.9;73.6;5.6;1;
2019-06-12;0;24.6;19.7;15.4;83.1;7.6;1.4;
2019-06-13;0;27.5;21.8;17.8;77.5;6.7;2.2;
2019-06-14;.2;29.3;22.2;17.6;79.1;6.3;1.5;
2019-06-15;0;27.8;22.2;19.2;83.7;6.4;1.8;
